epoch,iteration,global_iteration,noise_type,loss,td_mean,td_var,td_loss,consistency_loss,prediction_loss,latent_gap,q_variance,h_variance
1,1,1,gaussian,0.010916240513324738,-0.14828403294086456,0.000423608988057822,0.010585039854049683,0.03164149820804596,0.0002957343531306833,0.24887463450431824,1.664796036493499e-05,0.0007545494590885937
1,2,2,uniform,0.014203988946974277,-0.17097720503807068,0.00015259448264259845,0.013854283839464188,0.03406868129968643,0.0001803628692869097,0.26009002327919006,7.172295227064751e-06,0.0003495710843708366
1,3,3,correlated,0.011058278381824493,-0.14994852244853973,0.00013706597383134067,0.010759768076241016,0.028930582106113434,0.00018410557822789997,0.23977233469486237,7.469146112271119e-06,0.00028995954198762774
1,4,4,mixed,0.007742864545434713,-0.1228308156132698,0.000569086114410311,0.007469882257282734,0.025732696056365967,0.0003131092817056924,0.22433409094810486,0.00011539842671481892,0.0011483869748190045
1,5,5,exponential,0.0025987476110458374,-0.059029996395111084,0.0014883356634527445,0.002376995049417019,0.02020033821463585,0.000394985981984064,0.1983155608177185,0.000690309563651681,0.0025506524834781885
1,6,6,gaussian,0.000441552372649312,-0.017178572714328766,0.00023380958009511232,0.0002553558151703328,0.017185408622026443,0.00028684939024969935,0.18227308988571167,0.00022015406284481287,0.004129571374505758
1,7,7,uniform,0.0003500832535792142,-0.004792647901922464,0.00027222727658227086,0.00014304790238384157,0.019076447933912277,0.00032541804830543697,0.19352664053440094,0.00021495831606443971,0.003270001383498311
1,8,8,correlated,0.00036537545383907855,-0.0015013162046670914,0.00034590260474942625,0.00016958531341515481,0.01748693361878395,0.0004184159042779356,0.1831594705581665,0.0003296180802863091,0.004439628217369318
1,9,9,mixed,0.0003925068012904376,-0.005627769511193037,0.00037512954440899193,0.00019775408145505935,0.0172389205545187,0.00044727037311531603,0.18255141377449036,0.0003403335576876998,0.004441932775080204
1,10,10,exponential,0.00030767699354328215,-0.008788356557488441,0.00018572836415842175,0.00012782178237102926,0.01674874871969223,0.0002473544154781848,0.18100802600383759,0.000194653999642469,0.0044538225047290325
2,1,11,gaussian,0.0003326775040477514,-0.01300421915948391,0.00015762275143060833,0.0001585394493304193,0.016418684273958206,0.00019902463827747852,0.1794346421957016,0.00011280872422503307,0.004601641558110714
2,2,12,uniform,0.0004959309007972479,-0.0153998713940382,0.00040139566408470273,0.0003096693835686892,0.016139719635248184,0.0004972859169356525,0.1763710081577301,0.00034438344300724566,0.004974576644599438
2,3,13,correlated,0.00045154671533964574,-0.018804308027029037,0.00016743666492402554,0.00025105648091994226,0.01906881295144558,0.00019604193221312016,0.1935468316078186,0.00015149386308621615,0.003514520125463605
2,4,14,mixed,0.000549765070900321,-0.019729463383555412,0.00037024824996478856,0.0003663125680759549,0.0163106769323349,0.00040691529284231365,0.17719170451164246,0.0002449171443004161,0.005016856361180544
2,5,15,exponential,0.0005160739528946579,-0.019064461812376976,0.0003266140120103955,0.0003344903525430709,0.016266079619526863,0.0003784557047765702,0.17743763327598572,0.00026993794017471373,0.00502484617754817
2,6,16,gaussian,0.0005272101261653006,-0.021399809047579765,0.0002560071006882936,0.0003459558356553316,0.016518235206604004,0.0003214381285943091,0.178665891289711,0.00025891605764627457,0.004948832560330629
2,7,17,uniform,0.00048444041749462485,-0.021033883094787598,0.00019045011140406132,0.00030645699007436633,0.01658814586699009,0.0002420395758235827,0.17972204089164734,0.0001501459046266973,0.004803661722689867
2,8,18,correlated,0.00048801599768921733,-0.022166086360812187,0.0002562512527219951,0.00036578686558641493,0.010457126423716545,0.0003531569673214108,0.14263319969177246,0.0002752691216301173,0.008615560829639435
2,9,19,mixed,0.0005026579601690173,-0.022912174463272095,0.00014671855024062097,0.00032479665242135525,0.01685568131506443,0.00018609041580930352,0.18059879541397095,0.00017173122614622116,0.005010627210140228
2,10,20,exponential,0.0005558341508731246,-0.022493500262498856,0.0002770857245195657,0.0003791425842791796,0.01615010015666485,0.00030381057877093554,0.17661747336387634,0.00017312369891442358,0.005360015667974949
